place,dateline,headline,link,byline,publication,subhead
ANACONDA,ANACONDA,"TK, Anaconda story",#,TK,TK News,TK Sub
ANACONDA,ANACONDA + SEELEY LAKE/CHOTEAU/LIBBY,Why some young professionals settle in small-town Montana,http://www.hcn.org/articles/the-montana-gap-why-some-young-professionals-settle-in-small-town-montana,Eric Dietrich,Solutions Journalism Network,"As rural areas struggle to hold onto youth, a look at a few young professionals who returned."
BOULDER,BOULDER,How to turn a struggling small town around,https://www.hcn.org/articles/the-montana-gap-how-to-turn-a-struggling-small-town-around,Jan Anderson,Boulder Monitor,"In the first part of a series on Boulder, Montana, a well-rounded economic development effort."
BOULDER,BOULDER,There aren’t enough affordable homes for rural Montanans,https://www.hcn.org/articles/the-montana-gap-there-arent-enough-affordable-homes-for-rural-montanans,Jan Anderson,Boulder Monitor,"In the second story of the series, the town of Boulder’s aging population is likely to put more pressure on housing."
BOULDER,BOULDER,Nonprofits make rural home ownership more plausible,https://www.hcn.org/articles/the-montana-gap-how-nonprofits-make-home-ownership-more-plausible-in-boulder-montana,Jan Anderson,Boulder Monitor,"In the final part of a series on Boulder, Montana, a pathway for solutions for affordable housing woes."
BOZEMAN,BOZEMAN + CHOTEAU/LEWISTOWN,A majority of Montana counties face primary care shortages,https://www.hcn.org/articles/the-montana-gap-a-majority-of-montana-counties-face-primary-care-shortages,Beth Saboe,Montana PBS,The gap in health care access is particularly acute in rural areas
CHOTEAU,CHOTEAU,Can rural towns stem the trend of population decline?,https://www.hcn.org/articles/the-montana-gap-can-rural-towns-stem-the-trend-of-population-decline,Melody Martinsen,Choteau Acantha,"Small-town Choteau, Montana, is working to find answers to the question that is plaguing 23 of the state’s counties"
CHOTEAU,CHOTEAU + ANACONDA/SEELEY LAKE/LIBBY,Why some young professionals settle in small-town Montana,http://www.hcn.org/articles/the-montana-gap-why-some-young-professionals-settle-in-small-town-montana,Eric Dietrich,Solutions Journalism Network,"As rural areas struggle to hold onto youth, a look at a few young professionals who returned."
CHOTEAU,CHOTEAU + BOZEMAN/LEWISTOWN,A majority of Montana counties face primary care shortages,https://www.hcn.org/articles/the-montana-gap-a-majority-of-montana-counties-face-primary-care-shortages,Beth Saboe,Montana PBS,The gap in health care access is particularly acute in rural areas
COLUMBIA FALLS,COLUMBIA FALLS + DUPUYER,The future of small-town Montana rides on public lands,https://www.hcn.org/articles/the-montana-gap-the-future-of-small-town-montana-rides-on-public-lands,Aaron Teasdale,,"From Dupuyer to Columbia Falls, a look at the growing recreation economy."
DUPUYER,DUPUYER + COLUMBIA FALLS,The future of small-town Montana rides on public lands,https://www.hcn.org/articles/the-montana-gap-the-future-of-small-town-montana-rides-on-public-lands,Aaron Teasdale,,"From Dupuyer to Columbia Falls, a look at the growing recreation economy."
CUT BANK,CUT BANK,"TK, Cut Bank story",#,TK,TK News,TK Sub
LEWISTOWN,LEWISTOWN + CHOTEAU/BOZEMAN,A majority of Montana counties face primary care shortages,https://www.hcn.org/articles/the-montana-gap-a-majority-of-montana-counties-face-primary-care-shortages,Beth Saboe,Montana PBS,The gap in health care access is particularly acute in rural areas
LIBBY,LIBBY,"TK, Western News story",#,TK,TK News,TK Sub
LIBBY,LIBBY + ANACONDA/SEELEY LAKE/CHOTEAU,Why some young professionals settle in small-town Montana,http://www.hcn.org/articles/the-montana-gap-why-some-young-professionals-settle-in-small-town-montana,Eric Dietrich,Solutions Journalism Network,"As rural areas struggle to hold onto youth, a look at a few young professionals who returned."
MANHATTAN,MANHATTAN,"TK, Daily Chronicle story",#,TK,TK News,TK Sub
MISSOULA,MISSOULA,"In Montana, houses are replacing farmland",https://www.hcn.org/articles/the-montana-gap-in-montana-houses-are-replacing-farmland,Erika Fredrickson,Missoula Independent,Can lessons from Vermont keep local agriculture alive?
MISSOULA,MISSOULA,"On the outskirts of Missoula, growth comes with challenges",https://www.hcn.org/articles/the-montana-gap-on-the-outskirts-of-missoula-growth-comes-with-challenges,David Erikson,The Missoulian,An influx of new people to nearby communities has strained town systems.
MISSOULA,EAST MISSOULA,No zoning? No problem.,https://www.hcn.org/articles/the-montana-gap-no-zoning-laws-allow-individual-businesses-thrive-in-missoula,David Erikson,The Missoulian,Lack of zoning laws allow entrepreneurs to thrive in East Missoula.
